Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - O. FILBA GONZALEZ;16;14;10;6;6;1;2;1;6;9;5;4;1;2;2;0;2;4;2;3;1;5;2;2;13.88
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1.0
B. MANEL - D. FERRERAS CAMARERO - J. MARTIN LOPEZ - P. CRUZ URBANEJA;20;30;15;6;9;2;4;2;5;12;6;6;8;4;0;1;4;5;9;3;3;9;2;-10;27.76
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;33;37;20;10;14;3;6;4;9;18;9;9;8;5;0;1;6;8;11;4;3;11;2;-4;35.64
B. MANEL - D. FERRERAS CAMARERO - J. SIFTAR - O. FILBA GONZALEZ;22;4;12;9;3;0;6;4;5;13;10;3;4;5;0;1;2;8;2;0;0;3;3;18;18.64
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;23;4;12;9;3;0;8;5;5;13;10;3;4;5;0;1;2;8;2;0;0;4;3;19;19.52
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;33;21;18;13;8;1;6;4;8;21;17;4;8;5;0;1;8;9;6;2;3;8;4;12;32.64
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;42;16;24;12;10;4;10;6;6;20;12;8;6;6;0;1;5;5;5;1;3;12;6;26;36.39
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA;10;0;5;3;3;1;1;1;2;5;4;1;1;3;0;0;1;1;0;0;0;3;1;10;8.440000000000001
B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ;15;14;9;5;7;1;4;2;6;10;6;4;1;1;2;0;2;3;2;3;1;7;2;1;14.760000000000002
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ;10;12;5;2;6;2;0;0;4;4;2;2;0;2;0;0;2;4;2;1;5;5;3;-2;9.0
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;25;13;11;8;5;2;5;3;4;7;4;3;2;5;0;0;5;3;5;0;3;4;3;12;17.2
